date,sales
2024-01-01,55.74
2024-01-02,48.98
2024-01-03,61.54
2024-01-04,55.92
2024-01-05,69.56
2024-01-06,62.14
2024-01-07,63.4
2024-01-08,57.44
2024-01-09,68.54
2024-01-10,63.71
2024-01-11,74.42
2024-01-12,67.99
2024-01-13,66.82
2024-01-14,68.32
2024-01-15,73.01
2024-01-16,71.59
2024-01-17,69.95
2024-01-18,68.19
2024-01-19,70.08
2024-01-20,67.06
2024-01-21,72.29
2024-01-22,75.53
2024-01-23,73.65
2024-01-24,69.68
2024-01-25,79.52
2024-01-26,79.96
2024-01-27,76.18
2024-01-28,79.51
2024-01-29,80.32
2024-01-30,83.47
2024-01-31,148.73000000000002
2024-02-01,76.28
2024-02-02,67.38
2024-02-03,76.82
2024-02-04,74.6
2024-02-05,74.95
2024-02-06,77.28
2024-02-07,73.79
2024-02-08,78.76
2024-02-09,77.08
2024-02-10,77.55
2024-02-11,92.9
2024-02-12,79.15
2024-02-13,72.62
2024-02-14,77.32
2024-02-15,84.33
2024-02-16,76.51
2024-02-17,88.47
2024-02-18,80.17
2024-02-19,90.28
2024-02-20,90.02
2024-02-21,92.39
2024-02-22,94.45
2024-02-23,94.35
2024-02-24,84.98
2024-02-25,88.16
2024-02-26,88.4
2024-02-27,92.49
2024-02-28,95.33
2024-02-29,105.0
2024-03-01,21.36
2024-03-02,93.07
2024-03-03,96.54
2024-03-04,88.56
2024-03-05,84.32
2024-03-06,92.48
2024-03-07,95.63
2024-03-08,91.92
2024-03-09,87.67
2024-03-10,95.18
2024-03-11,94.43
2024-03-12,94.05
2024-03-13,87.06
2024-03-14,103.8
2024-03-15,95.26
2024-03-16,97.38
2024-03-17,98.04
2024-03-18,96.87
2024-03-19,90.69
2024-03-20,98.24
2024-03-21,106.91
2024-03-22,100.98
2024-03-23,99.3
2024-03-24,105.92
2024-03-25,108.92
2024-03-26,107.55
2024-03-27,106.31
2024-03-28,107.99
2024-03-29,109.85
2024-03-30,102.81
